# A Mapping between WordNet 3.0 and 3.1 synset offsets
# HyperDic hyper-dictionary, http://hyperdic.net
# (c) 2012 by Eric Kafe
#
# This mapping is released under the CC BY 3.0 license
# http://creativecommons.org/licenses/by/3.0/
#=====================================================
#PoS	WordNet 3.0	WordNet 3.1
a	00058379	00058619
a	00058554	00058794
a	00058696	00058955
a	00058822	00059081
a	00058929	00059188
a	00059028	00059287
a	00059131	00059390
a	00059201	00059460
a	00059326	00059585
a	00059491	00059750
a	00059669	00059928
a	00059782	00060041
a	00059965	00060224
a	00060053	00060312
a	00060151	00060410
a	00060294	00060553
a	00060397	00060656
a	00060605	00060864
a	00060875	00061134
a	00060969	00061228
a	00061088	00061347
a	00061262	00061521
a	00061664	00061923
a	00061885	00062144
a	00062152	00062411
a	00062367	00062626
a	00062626	00062885
a	00062740	00062999
a	00063087	00063346
a	00063277	00063536
a	00063563	00063822
a	00063953	00064212
a	00064176	00064435
a	00064365	00064624
a	00064479	00064738
a	00064787	00065107
a	00065064	00065384
a	00065184	00065504
a	00065488	00065808
a	00065667	00066276
a	00065791	00066400
a	00066146	00066755
a	00066565	00067174
a	00066703	00067312
a	00066800	00067409
a	00066933	00067542
a	00067038	00067647
a	00067379	00067988
a	00067638	00068247
a	00067767	00068376
a	00067966	00068575
a	00068180	00068789
a	00068278	00068887
a	00068566	00069175
a	00068738	00069347
a	00068883	00069492
a	00069060	00069669
a	00069217	00069826
a	00069427	00070036
a	00069531	00070140
a	00069948	00070557
a	00070111	00070720
a	00070288	00070897
a	00070427	00071036
a	00070583	00071192
a	00070839	00071448
a	00070939	00071547
a	00071142	00071750
a	00071242	00071850
a	00071427	00072035
a	00071559	00072167
a	00071739	00072347
a	00071897	00072505
a	00071992	00072600
a	00072281	00072889
a	00072436	00073044
a	00072673	00073281
a	00072790	00073398
a	00073048	00073656
a	00073358	00073966
a	00073465	00074073
a	00073761	00074369
a	00073935	00074543
a	00074094	00074702
a	00074216	00074824
a	00074346	00074954
a	00074594	00075202
a	00074741	00075349
a	00074867	00075475
a	00075019	00075627
a	00075135	00075743
a	00075389	00075997
a	00075515	00076123
a	00075737	00076345
a	00075952	00076560
a	00076127	00076735
a	00076341	00076949
a	00076580	00077188
a	00076739	00077347
a	00076921	00077529
a	00077059	00077667
a	00077196	00077804
a	00077354	00077962
a	00077449	00078057
a	00077645	00078253
a	00078329	00078919
a	00078463	00079053
a	00078576	00079166
a	00078705	00079295
a	00078851	00079441
a	00078942	00079532
a	00079069	00079659
a	00079262	00079852
a	00079356	00079946
a	00079485	00080075
a	00079629	00080219
a	00079786	00080376
a	00079896	00080486
a	00080098	00080688
a	00080213	00080803
a	00080357	00080947
a	00080698	00081288
a	00080861	01517273
a	00080981	00081451
a	00081087	00081557
a	00081234	00081704
a	00081417	00081887
a	00081513	00081983
a	00081671	00082141
a	00081930	00082400
a	00082034	00082504
a	00082160	00082630
a	00082241	00082711
a	00082766	00083236
a	00083003	00083473
a	00083296	00083766
a	00083478	00083948
a	00083749	00084218
a	00083876	00084345
a	00084022	00084491
a	00084353	00084822
a	00084661	00085130
a	00084795	00085264
a	00084956	00085425
a	00085139	00085608
a	00085264	00085733
a	00085630	00086315
a	00085870	00086555
a	00086005	00086690
a	00086210	00086895
a	00086341	00087026
a	00086606	00087291
a	00086801	00087486
a	00087022	00087707
a	00087152	00087837
a	00087354	00088039
a	00087597	00088282
a	00087837	00088522
a	00088055	00088740
a	00088157	00088842
a	00088328	00089013
a	00088545	00089230
a	00088658	00089343
a	00088792	00089477
a	00088899	00089584
a	00089051	00089736
a	00089355	00090040
a	00089550	00090253
a	00090219	00091073
a	00090408	00091262
a	00090628	00091482
a	00090718	00091572
a	00090917	00091771
a	00091121	00091975
a	00091311	00092165
a	00091764	00092618
a	00092136	00092990
a	00092275	00093129
a	00092391	00093245
a	00092551	00093404
a	00092691	00093544
a	00092848	00093701
a	00092933	00093786
a	00093108	00093961
a	00093275	00094128
a	00093433	00094286
a	00093556	00094409
a	00093810	00094663
a	00094069	00094922
a	00094239	00095092
a	00094324	00095177
a	00094448	00095301
a	00094799	00095652
a	00094941	00095794
a	00095094	00095947
a	00095280	00096133
a	00095873	00096726
a	00096072	00096925
a	00096239	00097092
a	00096414	00097267
a	00096595	00097448
a	00096815	00097668
a	00096913	00097766
a	00097022	00097875
a	00097147	00098000
a	00097305	00098158
a	00097452	00098305
a	00097577	00098430
a	00097674	00098527
a	00097768	00098621
a	00097906	00098759
a	00098043	00098896
a	00098147	00099000
a	00098307	00099160
a	00098450	00099303
a	00098529	00099382
a	00098736	00099589
a	00098933	00099786
a	00099097	00099950
a	00099290	00100143
a	00099704	00100425
a	00099874	00100594
a	00100213	00100933
a	00100373	00101092
a	00100506	00101225
a	00100634	00101395
a	00100881	00101642
a	00100989	00101750
a	00101152	00101913
a	00101331	00102092
a	00101452	00102213
a	00101609	00102370
a	00101800	00102561
a	00102079	00102878
a	00102201	00103000
a	00102578	00103377
a	00102786	00103585
a	00102930	00103729
a	00103196	00103995
a	00103302	00104101
a	00103447	00104246
a	00103567	00104366
a	00103696	00104495
a	00103953	00104752
a	00104051	00104850
a	00104318	00105117
a	00104533	00105332
a	00104699	00105498
a	00104825	00105624
a	00104942	00105741
a	00105023	00105822
a	00105197	00105996
a	00105388	00106187
a	00105566	00106365
a	00105746	00106545
a	00106020	00106819
a	00106182	00106981
a	00106277	00107089
a	00106456	00107268
a	00106821	00107633
a	00107017	00107829
a	00107128	00107940
a	00107250	00108062
a	00107384	00108195
a	00107648	00108459
a	00107868	00108679
a	00107984	00108795
a	00108145	00108956
a	00108263	00109074
a	00108434	00109245
a	00108595	00109406
a	00108698	00109509
a	00109016	00109827
a	00109133	00109944
a	00109261	00110072
a	00109382	00110193
a	00109504	00110315
a	00109633	00110444
a	00109782	00110593
a	00109966	00110777
a	00110252	00111063
a	00110497	00111308
a	00110701	00111512
a	00110853	00111664
a	00111129	00111940
a	00111415	00112226
a	00111604	00112415
a	00111856	00112667
a	00112018	00112829
a	00112231	00113042
a	00112628	00113439
a	00113015	00113826
a	00113245	00114056
a	00113476	00114287
a	00113663	00114474
a	00113818	00114629
a	00114266	00115077
a	00114454	00115265
a	00114797	00115608
a	00114921	00115732
a	00115094	00115905
a	00115193	00116004
a	00115494	00116305
a	00115777	00116588
a	00115906	00116717
a	00116058	00116869
a	00116245	00117056
a	00116463	00117274
a	00116529	00117340
a	00116744	00117555
a	00116940	00117751
a	00117106	00117917
a	00117235	00118046
a	00117385	00118196
a	00117654	00118465
a	00117754	00118565
a	00117961	00118772
a	00118066	00118877
a	00118238	00119049
a	00118451	00119262
a	00118567	00119378
a	00118844	00119655
a	00119006	00119817
a	00119279	00120089
a	00119409	00120219
a	00119533	00120343
a	00119750	00120560
a	00119875	00120685
a	00119993	00120803
a	00120132	00120942
a	00120252	00121062
a	00120411	00121221
a	00120574	00121384
a	00120784	00121594
a	00121034	00121844
a	00121183	00121993
a	00121376	00122186
a	00121552	00122362
a	00121649	00122459
a	00121865	00122675
a	00122128	00122938
a	00122245	00123055
a	00122386	00123196
a	00122626	00123436
a	00122844	00123654
a	00123485	00124357
a	00123653	00124525
a	00123804	00124676
a	00123961	00124833
a	00124077	00124949
a	00124353	00125225
a	00124493	00125365
a	00124685	00125557
a	00124918	00125790
a	00125068	00125940
a	00125170	00126042
a	00125319	00126191
a	00125553	00126425
a	00125711	00126583
a	00125993	00126865
a	00126116	00126988
a	00126235	00127107
a	00126339	00127211
a	00126497	00127369
a	00126702	00127574
a	00126830	00127702
a	00127137	00128009
a	00127296	00128168
a	00127543	00128433
a	00127661	00128551
a	00127815	00128705
a	00127948	00128838
a	00128137	00129209
a	00128262	00129334
a	00128467	00129539
a	00128572	00129644
a	00128733	00129805
a	00128882	00129954
a	00129029	00130101
a	00129103	00130175
a	00129276	00130348
a	00129467	00130539
a	00129612	00130684
a	00129729	00130801
a	00129878	00130950
a	00130017	00131089
a	00130151	00131223
a	00130281	00131353
a	00130412	00131484
a	00130518	00131590
a	00130596	00131668
